Title,Company/Studio,Year,Is it part of a series or franchise?
The Legend Of Zelda Tears Of The Kingdom,Nintendo,2023,Yes
The Legend Of Zelda: Skyward Sword,Nintendo,2011,Yes
Pac Man,Namco,1980,Yes
Pikmin 3,Nintendo,2013,Yes
Metroid,Nintendo,1986,Yes
